GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
yerayordoki_si2p1,dataAccess,Emaitza,14,24,0,0,7,9,4,4,4,4
yerayordoki_si2p1,dataAccess,DataAccess,1713,169,151,13,355,34,112,10,35,5
yerayordoki_si2p1,dataAccess,ObjectdbManagerServer.new ActionListener() {...},48,0,0,0,12,0,2,0,2,0
yerayordoki_si2p1,dataAccess,ObjectdbManagerServer,192,0,2,0,43,0,3,0,2,0
yerayordoki_si2p1,configuration,UtilDate,118,0,0,0,32,0,5,0,5,0
yerayordoki_si2p1,configuration,ConfigXML,41,184,0,0,12,37,9,7,9,7
yerayordoki_si2p1,domain,Review,27,0,0,0,10,0,4,0,4,0
yerayordoki_si2p1,domain,Eskaera,135,0,6,0,31,0,18,0,15,0
yerayordoki_si2p1,domain,Admin,22,0,0,0,10,0,5,0,5,0
yerayordoki_si2p1,domain,Sale,133,0,2,0,43,0,20,0,19,0
yerayordoki_si2p1,domain,EskaeraOferta,65,0,0,0,26,0,14,0,14,0
yerayordoki_si2p1,domain,Complaint,48,0,0,0,16,0,9,0,9,0
yerayordoki_si2p1,domain,Seller,214,74,22,0,54,15,33,4,22,4
yerayordoki_si2p1,domain,IntegerAdapter,14,0,2,0,4,0,4,0,3,0
yerayordoki_si2p1,gui,MainEskaerakGUI.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainEskaerakGUI.new ActionListener() {...},19,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainEskaerakGUI.new ActionListener() {...},20,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,ProfileGUI.new ActionListener() {...},110,0,14,0,23,0,9,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua,552,0,8,0,94,0,10,0,6,0
yerayordoki_si2p1,gui,SellerReviewsGUI,300,0,16,0,57,0,12,0,4,0
yerayordoki_si2p1,gui,BuyGUI.new ActionListener() {...},80,0,6,0,17,0,5,0,2,0
yerayordoki_si2p1,gui,BuyGUI.new ActionListener() {...},12,0,0,0,2,0,2,0,2,0
yerayordoki_si2p1,gui,QueryEskaerakGUI,384,0,8,0,70,0,7,0,3,0
yerayordoki_si2p1,gui,AdminRegisterGUI.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
yerayordoki_si2p1,gui,AdminRegisterGUI.new ActionListener() {...},85,0,10,0,17,0,7,0,2,0
yerayordoki_si2p1,gui,ShowSaleGUI.new ActionListener() {...},31,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,ShowSaleGUI.new ActionListener() {...},12,0,0,0,2,0,2,0,2,0
yerayordoki_si2p1,gui,ShowSaleGUI.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,ShowSaleGUI.new ActionListener() {...},35,0,0,0,8,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,RegisterGUI.new ActionListener() {...},116,0,14,0,21,0,9,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,RegisterGUI.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},22,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},26,0,0,0,6,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},26,0,0,0,6,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},26,0,0,0,6,0,2,0,2,0
yerayordoki_si2p1,gui,AdminLoginGUI,156,0,0,0,31,0,2,0,2,0
yerayordoki_si2p1,gui,EskaeraEginGUI.new ActionListener() {...},79,0,6,0,17,0,5,0,2,0
yerayordoki_si2p1,gui,MoneyGUI.new ActionListener() {...},71,0,2,0,14,0,3,0,2,0
yerayordoki_si2p1,gui,MoneyGUI.new ActionListener() {...},89,0,4,0,18,0,4,0,2,0
yerayordoki_si2p1,gui,Utils,96,0,6,0,11,0,6,0,3,0
yerayordoki_si2p1,gui,EskaeraOffersGUI,294,0,6,0,55,0,6,0,3,0
yerayordoki_si2p1,gui,BasketGUI,162,0,4,0,30,0,4,0,2,0
yerayordoki_si2p1,gui,ProfileGUI,271,0,0,0,52,0,1,0,1,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,UserHistoryGUI,293,0,6,0,46,0,4,0,1,0
yerayordoki_si2p1,gui,MainGUIErregistratua.new ActionListener() {...},17,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,ShowSaleGUI,575,0,2,0,94,0,3,0,2,0
yerayordoki_si2p1,gui,QuerySalesGUI.new ActionListener() {...},12,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,QuerySalesGUI.new ActionListener() {...},139,0,4,0,24,0,4,0,2,0
yerayordoki_si2p1,gui,QuerySalesGUI.new MouseAdapter() {...},42,0,2,0,8,0,3,0,2,0
yerayordoki_si2p1,gui,MainGUI,338,0,0,0,59,0,4,0,4,0
yerayordoki_si2p1,gui,MoneyGUI,224,0,0,0,43,0,1,0,1,0
yerayordoki_si2p1,gui,QuerySalesGUI,372,0,4,0,64,0,5,0,3,0
yerayordoki_si2p1,gui,ApplicationLauncher,108,0,2,0,22,0,3,0,2,0
yerayordoki_si2p1,gui,NireEskaerakGUI,263,0,6,0,50,0,6,0,3,0
yerayordoki_si2p1,gui,NireEskaerakGUI.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
yerayordoki_si2p1,gui,ComplaintGUI,99,0,2,0,21,0,3,0,2,0
yerayordoki_si2p1,gui,NireEskaerakGUI.new MouseAdapter() {...},44,0,4,0,9,0,4,0,2,0
yerayordoki_si2p1,gui,ShowEskaeraGUI,234,0,2,0,46,0,4,0,3,0
yerayordoki_si2p1,gui,MainEskaerakGUI,113,0,0,0,20,0,1,0,1,0
yerayordoki_si2p1,gui,MainGUI.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUI.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUI.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUI.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUI.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,SellerReviewsGUI.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
yerayordoki_si2p1,gui,LoginGUI,156,0,0,0,31,0,2,0,2,0
yerayordoki_si2p1,gui,AdminMainGUI,300,0,0,0,54,0,5,0,5,0
yerayordoki_si2p1,gui,LoginGUI.new ActionListener() {...},39,0,2,0,8,0,3,0,2,0
yerayordoki_si2p1,gui,MainGUI.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,LoginGUI.new Runnable() {...},15,0,0,0,7,0,2,0,2,0
yerayordoki_si2p1,gui,MainGUI.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,AdminComplaintsGUI,273,0,16,0,61,0,12,0,4,0
yerayordoki_si2p1,gui,AdminMainGUI.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,AdminMainGUI.new WindowAdapter() {...},9,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,CreateSaleGUI,617,0,10,0,105,0,9,0,4,0
yerayordoki_si2p1,gui,AdminMainGUI.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,EskaeraOffersGUI.new DefaultTableModel() {...},10,0,0,0,2,0,2,0,2,0
yerayordoki_si2p1,gui,AdminMainGUI.new ActionListener() {...},14,0,0,0,4,0,2,0,2,0
yerayordoki_si2p1,gui,AdminMainGUI.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,AdminRegisterGUI,244,0,0,0,46,0,3,0,3,0
yerayordoki_si2p1,gui,AdminMainGUI.new ActionListener() {...},15,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,EskaeraOffersGUI.new ActionListener() {...},50,0,4,0,13,0,4,0,2,0
yerayordoki_si2p1,gui,QueryEskaerakGUI.new ActionListener() {...},12,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,ReviewGUI,135,0,0,0,31,0,2,0,2,0
yerayordoki_si2p1,gui,QueryEskaerakGUI.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
yerayordoki_si2p1,gui,QueryEskaerakGUI.new MouseAdapter() {...},42,0,4,0,8,0,4,0,2,0
